session_id,step_number,restaurant_id,meal_time_bucket,candidate_item_id,retrieval_score,src_cooc,src_ctx,src_rule,label_addon_added
1,1,18,late-night,512,0.104545,0,1,1,0
1,1,18,late-night,513,0.248485,1,1,1,0
1,1,18,late-night,514,0.279545,1,1,1,0
1,1,18,late-night,515,0.256818,1,1,0,0
1,1,18,late-night,516,0.109091,0,1,0,0
1,1,18,late-night,517,0.968182,1,1,1,0
1,1,18,late-night,518,0.475,1,1,0,0
1,1,18,late-night,519,0.192045,1,1,1,0
1,1,18,late-night,521,0.077273,0,1,1,0
1,1,18,late-night,522,0.393182,1,1,0,0
1,1,18,late-night,523,0.027273,0,1,0,0
1,1,18,late-night,524,0.450758,1,1,1,0
1,1,18,late-night,525,0.077273,0,1,1,0
1,1,18,late-night,526,0.968182,1,1,1,1
1,1,18,late-night,527,0.338485,1,1,0,0
1,1,18,late-night,528,0.05,0,0,1,0
1,1,18,late-night,529,0.34053,1,1,0,0
1,1,18,late-night,530,0.334848,1,1,0,0
1,1,18,late-night,532,0.218182,0,1,0,0
1,1,18,late-night,533,0.027273,0,1,0,0
1,1,18,late-night,534,0.131818,0,1,1,0
1,1,18,late-night,535,0.590909,1,1,1,0
1,1,18,late-night,536,0.272727,0,1,0,0
1,1,18,late-night,537,0.443182,1,1,1,0
1,1,18,late-night,538,0.077273,0,1,1,0
1,1,18,late-night,539,0.054545,0,1,0,0
1,1,18,late-night,540,0.225758,1,1,0,0
1,1,18,late-night,511,0.136364,0,1,0,0
1,2,18,late-night,512,0.104545,0,1,1,0
1,2,18,late-night,513,0.831818,1,1,1,0
1,2,18,late-night,514,0.249373,1,1,1,0
1,2,18,late-night,515,0.226646,1,1,0,0
1,2,18,late-night,516,0.181505,1,1,0,0
1,2,18,late-night,517,0.797492,1,1,0,0
1,2,18,late-night,518,0.517241,1,1,0,0
1,2,18,late-night,519,0.176959,1,1,1,0
1,2,18,late-night,521,0.077273,0,1,1,0
1,2,18,late-night,522,0.363009,1,1,0,0
1,2,18,late-night,523,0.268652,1,1,0,0
1,2,18,late-night,524,0.738401,1,1,1,0
1,2,18,late-night,525,0.366928,1,1,1,0
1,2,18,late-night,527,0.656301,1,1,0,1
1,2,18,late-night,528,0.05,0,0,1,0
1,2,18,late-night,529,0.450157,1,1,0,0
1,2,18,late-night,530,0.676803,1,1,0,0
1,2,18,late-night,532,0.218182,0,1,0,0
1,2,18,late-night,533,0.1721,1,1,0,0
1,2,18,late-night,534,0.469749,1,1,1,0
1,2,18,late-night,535,0.480564,1,1,0,0
1,2,18,late-night,536,0.369279,1,1,0,0
1,2,18,late-night,537,0.363009,1,1,0,0
1,2,18,late-night,538,0.077273,0,1,1,0
1,2,18,late-night,539,0.199373,1,1,0,0
1,2,18,late-night,540,0.495298,1,1,0,0
1,2,18,late-night,511,0.290846,1,1,0,0
2,2,93,late-night,2761,0.075,0,1,0,0
2,2,93,late-night,2762,0.670833,1,1,1,1
2,2,93,late-night,2764,0.0,0,0,0,0
2,2,93,late-night,2765,0.275,1,1,0,0
2,2,93,late-night,2766,0.0625,0,1,1,0
2,2,93,late-night,2767,0.1375,0,1,0,0
2,2,93,late-night,2769,0.05,0,1,0,0
2,2,93,late-night,2771,0.625,1,1,1,0
2,2,93,late-night,2772,0.075,0,1,1,0
2,2,93,late-night,2773,0.075,0,1,0,0
2,2,93,late-night,2775,0.3875,1,1,0,0
2,2,93,late-night,2776,0.2625,1,1,1,0
2,2,93,late-night,2777,0.216667,1,1,0,0
2,2,93,late-night,2778,0.05,0,1,0,0
2,2,93,late-night,2780,0.025,0,1,0,0
2,2,93,late-night,2781,0.7625,1,1,0,0
2,2,93,late-night,2782,0.175,1,0,0,0
2,2,93,late-night,2783,0.3,0,1,0,0
2,2,93,late-night,2784,0.4375,1,1,1,0
2,2,93,late-night,2785,0.2875,1,1,0,0
2,2,93,late-night,2786,0.191667,1,1,1,0
2,2,93,late-night,2787,0.4,1,0,1,0
2,2,93,late-night,2788,0.05,0,1,0,0
2,2,93,late-night,2789,0.2625,1,1,0,0
2,2,93,late-night,2790,0.05,0,1,0,0
3,1,142,late-night,4231,0.15,0,1,0,0
3,1,142,late-night,4232,0.325,1,1,0,0
3,1,142,late-night,4233,0.1625,0,1,1,0
3,1,142,late-night,4235,0.05,0,0,1,0
3,1,142,late-night,4236,0.0875,0,1,1,0
3,1,142,late-night,4237,0.55,1,1,1,0
3,1,142,late-night,4238,0.2475,1,1,0,0
3,1,142,late-night,4239,0.5875,1,1,1,0
3,1,142,late-night,4240,0.275,0,1,1,0
3,1,142,late-night,4242,0.1125,0,1,0,0
3,1,142,late-night,4244,0.2375,1,1,1,0
3,1,142,late-night,4245,0.425,1,1,1,0
3,1,142,late-night,4246,0.225,1,1,0,0
3,1,142,late-night,4247,1.0125,1,1,1,0
3,1,142,late-night,4248,0.125,0,1,1,0
3,1,142,late-night,4249,0.4125,1,1,1,0
3,1,142,late-night,4250,0.075,0,1,0,0
3,1,142,late-night,4251,0.75,1,1,1,1
3,1,142,late-night,4252,0.15,0,1,0,0
3,1,142,late-night,4253,0.5375,1,1,1,0
3,1,142,late-night,4255,0.1125,0,1,0,0
3,1,142,late-night,4256,0.075,0,1,0,0
3,1,142,late-night,4257,0.075,0,1,0,0
3,1,142,late-night,4258,0.25,1,1,0,0
3,1,142,late-night,4259,0.3125,1,1,1,0
3,1,142,late-night,4260,0.2625,0,1,0,0
3,2,142,late-night,4231,0.15,0,1,0,0
